# G4Cosmic CORSIKA text .dat shower list
# event_id corsika_id x_m y_m z_m px_GeV py_GeV pz_GeV time_ns
# primary=proton energyMode=powerLaw spectralIndex=2.7
0 14 0.59749757 0.088941934 1.9 -341.72957 144.75763 -305.1598 18.653192
0 14 0.29833454 0.32811359 1.9 -1.421246 1.8345991 -2.8608516 47.903239
1 14 0.037262518 0.19642268 1.9 -161.91685 249.69395 -220.30276 1.1760609
1 3 -0.33473342 -0.010729264 1.9 0.091586755 0.0038424525 -0.091831201 33.195001
1 2 -0.075777492 0.066652683 1.9 19.678914 -17.231612 -26.168698 28.904301
1 13 0.090205471 -0.045291906 1.9 -0.2563928 0.46712019 -1.7485169 2.0125505
1 1 -0.04886352 0.26863774 1.9 19.870009 46.580662 -62.617716 29.430431
1 6 0.18160559 0.30990916 1.9 55.822343 -63.678737 -72.559896 0.46782723
1 2 -0.18638245 0.12882401 1.9 1.2067244 0.4855992 -0.76393569 22.255688
2 14 0.52483822 0.20437956 1.9 17.950879 -253.31898 -392.13008 24.038813
2 1 0.24710041 0.3598926 1.9 0.024043487 -0.012710096 -0.14574161 27.490489
2 3 0.4439287 0.16520337 1.9 19.712937 33.309744 -24.834452 48.364099
2 2 0.54927312 0.41962065 1.9 -0.17534031 -0.49403539 -0.341022 7.3270783
2 13 0.58632926 0.5347939 1.9 2.0859699 1.4344196 -5.203655 25.258359
2 5 0.50620901 0.17986669 1.9 0.15536679 -0.086772068 -0.13036633 9.2160542
2 3 0.43055881 0.40425981 1.9 -0.88633606 -0.10217629 -1.3810747 12.447029
2 5 0.43875196 0.38418368 1.9 -0.15177723 -3.752058 -5.4174979 31.407191
3 14 -0.49825758 0.58194908 1.9 -128.16531 -344.95234 -442.86667 33.549856
3 14 -0.43030983 0.42839007 1.9 -0.10979891 -0.02519736 -0.23207633 5.3783196
3 14 -0.60052025 0.64322088 1.9 -0.0055743447 -0.23582851 -0.14272504 34.295071
3 5 -0.53769992 0.38985367 1.9 1.0746861 0.35190875 -1.2677437 22.27791
3 2 -0.23991219 0.36547278 1.9 1.2068755 -0.53236159 -1.8404576 1.5302495
3 6 -0.32446041 0.34060612 1.9 24.678793 92.614967 -79.058244 15.007432
3 3 -0.32507244 0.53070995 1.9 44.648658 11.598875 -91.069363 9.4861244
4 14 -0.20623097 -0.1191484 1.9 78.814529 15.819414 -359.13761 49.857992
4 5 -0.1657152 -0.18317247 1.9 0.26446485 0.93790121 -0.6835395 28.492441
4 3 -0.2344821 -0.24229841 1.9 0.10264548 0.068805707 -0.32781624 10.36639
4 6 -0.38658524 -0.10280125 1.9 4.1207269 5.7934375 -13.795612 26.580972
4 6 -0.097980374 -0.29810729 1.9 -16.596818 17.288516 -24.8504 1.367627
4 5 -0.14331431 -0.40156929 1.9 -1.3056947 0.24703172 -0.78479258 2.286951
4 3 -0.27614325 -0.060748231 1.9 -1.0721001 -0.50662856 -1.64531 24.308678
4 1 -0.068850636 0.11559766 1.9 0.034568446 0.1617521 -0.14315677 4.822783
5 14 -0.21790155 0.71433103 1.9 -365.6916 -101.96209 -363.51295 49.962908
5 13 0.19382951 0.33540348 1.9 159.39998 -73.96303 -216.78966 31.992999
6 14 -0.087658773 0.26338471 1.9 109.75294 51.434565 -368.18111 40.391991
6 1 -0.015709007 0.73030037 1.9 -0.45003761 0.47850325 -0.50920514 34.451643
6 13 -0.052564615 0.47500529 1.9 -0.93931734 -0.026180584 -2.1834395 25.906596
6 6 0.06799307 0.23404548 1.9 -32.552062 -75.107329 -80.202671 21.075457
6 1 -0.20158306 0.3649927 1.9 0.22094238 1.0827959 -0.75145639 30.842958
6 5 0.13697306 0.13382715 1.9 0.65656382 0.023107987 -0.47758357 36.608576
6 3 0.24479384 0.19230186 1.9 0.021114003 0.067304559 -0.11234791 31.28021
7 14 -0.051418902 0.51389297 1.9 28.381943 95.511227 -341.68898 45.914069
7 1 -0.40350885 0.42064264 1.9 -0.024595715 0.045831915 -0.10292032 6.4202006
7 6 -0.19588365 0.52108702 1.9 7.1292594 -3.8296431 -8.261518 29.052242
7 14 -0.19755837 0.25254634 1.9 8.5397288 -0.5201722 -10.855474 25.103678
7 6 -0.44860203 0.56493389 1.9 -0.070583229 -0.095786171 -0.13140401 44.966766
8 14 0.26587951 0.52574354 1.9 -198.83078 159.56561 -254.40346 4.6349198
8 5 0.39455515 0.50590104 1.9 1.8929383 0.086827902 -19.141828 22.942413
9 14 -0.28086487 0.13779708 1.9 -328.71693 -338.20416 -409.91605 15.809369
9 1 -0.51671684 -0.063838179 1.9 -1.0724742 -1.9892349 -1.351914 24.891003
9 6 -0.56918642 0.37802617 1.9 30.574128 -22.180434 -47.688624 39.82228
9 2 -0.46783181 0.057693039 1.9 -4.8615495 3.1086475 -5.4076851 23.589848
10 14 -0.26593503 0.21852431 1.9 378.12476 265.69467 -405.79913 9.2856845
10 1 0.35097747 0.35939576 1.9 -35.685911 30.677678 -31.930723 18.525444
10 2 0.12591059 0.39377714 1.9 -9.1987201 -13.07621 -20.86932 30.779868
10 6 -0.058535968 0.51395025 1.9 180.05932 171.36096 -147.65404 21.908717
11 14 -0.30706157 -0.34307194 1.9 -520.20634 -91.883731 -361.11206 35.060367
11 2 -0.25216733 -0.41541767 1.9 25.373314 -15.507678 -115.42711 39.643284
11 2 -0.025283618 -0.31719537 1.9 21.695276 27.592693 -20.801926 21.218719
12 14 0.37194223 0.18909729 1.9 -5.611725 -402.1992 -266.53806 37.076635
12 1 0.59276249 0.14295232 1.9 0.16893772 -0.043372652 -0.1619467 14.726897
12 6 0.62619828 0.24576814 1.9 -1.0968775 -0.37320503 -1.2606055 27.87656
13 14 -0.076773034 0.71785658 1.9 -30.416759 -309.11525 -219.57244 12.642928
13 13 -0.11998832 0.28763925 1.9 -0.44959634 0.32194321 -0.51888223 10.11807
14 14 0.19978574 -0.48675756 1.9 -177.22738 -107.30091 -309.65565 39.83882
14 5 0.17077246 -0.44186395 1.9 -0.16018129 0.11007898 -0.27661836 14.280425
15 14 0.2639199 0.17054497 1.9 138.2948 -392.78135 -346.139 33.560595
15 13 0.60591796 0.23099289 1.9 0.32110637 1.3754032 -2.8023791 19.525437
15 1 0.55699361 0.14969373 1.9 -0.79888598 0.25455524 -1.1450107 24.269354
