# G4Cosmic CORSIKA text .dat shower list
# event_id corsika_id x_m y_m z_m px_GeV py_GeV pz_GeV time_ns
# primary=proton energyMode=powerLaw spectralIndex=2.7
0 14 0.59749757 0.088941934 1.9 -338.95309 143.58232 -302.68194 18.653192
0 14 0.29833454 0.32811359 1.9 -1.4096966 1.8196969 -2.8376183 47.903239
1 14 0.037262518 0.19642268 1.9 -161.72938 249.40573 -220.04922 1.1760609
1 3 -0.33473342 -0.010729264 1.9 0.091480923 0.0038380095 -0.091725408 33.195001
1 2 -0.075777492 0.066652683 1.9 19.656102 -17.211782 -26.138551 28.904301
1 13 0.090205471 -0.045291906 1.9 -0.25609573 0.46658066 -1.7464999 2.0125505
1 1 -0.04886352 0.26863774 1.9 19.847087 46.526815 -62.545545 29.430431
1 6 0.18160559 0.30990916 1.9 55.757585 -63.605385 -72.476342 0.46782723
1 2 -0.18638245 0.12882401 1.9 1.2053305 0.48503789 -0.76305743 22.255688
2 14 0.52483822 0.20437956 1.9 17.820292 -251.4889 -389.29815 24.038813
2 1 0.24710041 0.3598926 1.9 0.023869723 -0.012618371 -0.14468897 27.490489
2 3 0.4439287 0.16520337 1.9 19.570552 33.069093 -24.655169 48.364099
2 2 0.54927312 0.41962065 1.9 -0.17407522 -0.49046581 -0.33856009 7.3270783
2 13 0.58632926 0.5347939 1.9 2.0709 1.4240554 -5.1660729 25.258359
2 5 0.50620901 0.17986669 1.9 0.154244 -0.086145867 -0.12942511 9.2160542
2 3 0.43055881 0.40425981 1.9 -0.87993285 -0.10143596 -1.3711007 12.447029
2 5 0.43875196 0.38418368 1.9 -0.15069369 -3.7249502 -5.3783738 31.407191
3 14 -0.49825758 0.58194908 1.9 -126.24282 -339.77465 -436.22118 33.549856
3 14 -0.43030983 0.42839007 1.9 -0.10815101 -0.024818905 -0.2285937 5.3783196
3 14 -0.60052025 0.64322088 1.9 -0.0054914968 -0.23228911 -0.14058374 34.295071
3 5 -0.53769992 0.38985367 1.9 1.0585566 0.34662683 -1.2487206 22.27791
3 2 -0.23991219 0.36547278 1.9 1.1887595 -0.52437672 -1.8128398 1.5302495
3 6 -0.32446041 0.34060612 1.9 24.308491 91.224932 -77.872016 15.007432
3 3 -0.32507244 0.53070995 1.9 43.978536 11.424781 -89.702742 9.4861244
4 14 -0.20623097 -0.1191484 1.9 78.733655 15.803169 -358.76987 49.857992
4 5 -0.1657152 -0.18317247 1.9 0.26419452 0.93693904 -0.68284166 28.492441
4 3 -0.2344821 -0.24229841 1.9 0.10254019 0.06873506 -0.32748063 10.36639
4 6 -0.38658524 -0.10280125 1.9 4.1165029 5.7874902 -13.781491 26.580972
4 6 -0.097980374 -0.29810729 1.9 -16.579762 17.27081 -24.824993 1.367627
4 5 -0.14331431 -0.40156929 1.9 -1.3043552 0.24678127 -0.78399212 2.286951
4 3 -0.27614325 -0.060748231 1.9 -1.0710015 -0.50610591 -1.6436267 24.308678
4 1 -0.068850636 0.11559766 1.9 0.034533152 0.16158615 -0.14301049 4.822783
5 14 -0.21790155 0.71433103 1.9 -361.5627 -100.80988 -359.4097 49.962908
5 13 0.19382951 0.33540348 1.9 157.5998 -73.128568 -214.34244 31.992999
6 14 -0.087658773 0.26338471 1.9 109.51407 51.322579 -367.38059 40.391991
6 1 -0.015709007 0.73030037 1.9 -0.44905746 0.47746276 -0.50809924 34.451643
6 13 -0.052564615 0.47500529 1.9 -0.93727296 -0.026121382 -2.1786924 25.906596
6 6 0.06799307 0.23404548 1.9 -32.481461 -74.943773 -80.028416 21.075457
6 1 -0.20158306 0.3649927 1.9 0.22046271 1.0804395 -0.74982483 30.842958
6 5 0.13697306 0.13382715 1.9 0.6551351 0.023057686 -0.47654649 36.608576
6 3 0.24479384 0.19230186 1.9 0.021068113 0.067158055 -0.1121037 31.28021
7 14 -0.051418902 0.51389297 1.9 28.372533 95.479225 -341.57536 45.914069
7 1 -0.40350885 0.42064264 1.9 -0.024587412 0.045816613 -0.10288613 6.4202006
7 6 -0.19588365 0.52108702 1.9 7.1268583 -3.828393 -8.2587834 29.052242
7 14 -0.19755837 0.25254634 1.9 8.5368693 -0.52003784 -10.851874 25.103678
7 6 -0.44860203 0.56493389 1.9 -0.07055991 -0.095753914 -0.13136049 44.966766
8 14 0.26587951 0.52574354 1.9 -198.71616 159.47423 -254.25808 4.6349198
8 5 0.39455515 0.50590104 1.9 1.8918492 0.086777881 -19.130855 22.942413
9 14 -0.28086487 0.13779708 1.9 -322.52834 -331.835 -402.19911 15.809369
9 1 -0.51671684 -0.063838179 1.9 -1.0522865 -1.9517758 -1.3264657 24.891003
9 6 -0.56918642 0.37802617 1.9 29.998335 -21.762911 -46.790805 39.82228
9 2 -0.46783181 0.057693039 1.9 -4.7700029 3.0501223 -5.3058804 23.589848
10 14 -0.26593503 0.21852431 1.9 371.30062 260.89934 -398.47696 9.2856845
10 1 0.35097747 0.35939576 1.9 -35.041816 30.124087 -31.354606 18.525444
10 2 0.12591059 0.39377714 1.9 -9.0327425 -12.840185 -20.492735 30.779868
10 6 -0.058535968 0.51395025 1.9 176.80981 168.26824 -144.99007 21.908717
11 14 -0.30706157 -0.34307194 1.9 -509.78495 -90.041706 -353.87939 35.060367
11 2 -0.25216733 -0.41541767 1.9 24.864916 -15.197101 -113.11488 39.643284
11 2 -0.025283618 -0.31719537 1.9 21.260662 27.0399 -20.385302 21.218719
12 14 0.37194223 0.18909729 1.9 -5.566747 -398.87523 -264.33658 37.076635
12 1 0.59276249 0.14295232 1.9 0.16754132 -0.043014947 -0.16060886 14.726897
12 6 0.62619828 0.24576814 1.9 -1.087813 -0.37011778 -1.2501911 27.87656
13 14 -0.076773034 0.71785658 1.9 -30.364696 -308.57524 -219.18995 12.642928
13 13 -0.11998832 0.28763925 1.9 -0.44881038 0.32138168 -0.51797775 10.11807
14 14 0.19978574 -0.48675756 1.9 -176.99913 -107.16205 -309.2572 39.83882
14 5 0.17077246 -0.44186395 1.9 -0.15997452 0.10993733 -0.27626243 14.280425
15 14 0.2639199 0.17054497 1.9 136.57215 -387.89339 -341.83241 33.560595
15 13 0.60591796 0.23099289 1.9 0.3171112 1.3582844 -2.7675073 19.525437
15 1 0.55699361 0.14969373 1.9 -0.7889425 0.25138871 -1.1307632 24.269354
16 14 -0.29148763 -0.45817561 1.9 1.8310868 -295.82801 -227.37979 45.163489
16 14 -0.21208163 -0.689953 1.9 3.2634248 6.4411534 -5.2588519 0.23293452
16 1 -0.12149864 -0.67799829 1.9 0.17357612 0.16721873 -0.15038076 26.655889
16 14 -0.53335501 -0.52173508 1.9 32.175157 21.321043 -34.763241 0.65253774
16 5 -0.38943574 -0.5249367 1.9 0.091510092 0.13647468 -0.15742224 16.398586
17 14 -0.50783716 0.47552625 1.9 -171.17624 77.198043 -466.64268 41.868742
17 13 -0.44683756 0.41143478 1.9 125.23602 -32.450827 -117.37325 23.899333
17 14 -0.34003911 0.47742259 1.9 82.61351 13.786351 -98.867183 49.426709
17 13 -0.63034952 0.31840009 1.9 -0.14989934 1.3081762 -1.0404028 1.2291734
17 1 -0.42007632 0.46715492 1.9 -0.1461376 -0.22136873 -0.45458504 9.3959133
17 5 -0.50032959 0.52560361 1.9 -2.2729599 1.4811813 -2.238097 9.2387053
